Product,SKU,Category,Main Image,Gallery 2,Gallery 3,Image Type,Status
"Keratin Smooth Shampoo","SGT-HC-003","Hair Care","/products/hair-care/keratin-smooth-shampoo.png","/products/hair-care/keratin-smooth-shampoo-2.png","/products/hair-care/keratin-smooth-shampoo-3.png","Photograph","OK"
"Moisturizing Shampoo","SGT-HC-005","Hair Care","/products/hair-care/moisturizing-shampoo.png","/products/hair-care/moisturizing-shampoo-2.png","/products/hair-care/moisturizing-shampoo-3.png","Photograph","OK"
"Professional Conditioner","SGT-HC-006","Hair Care","/products/hair-care/professional-conditioner.png","/products/hair-care/professional-conditioner-2.png","/products/hair-care/professional-conditioner-3.png","Photograph","OK"
"Professional Hair Spa Cream","SGT-HC-010","Hair Care","/products/hair-care/professional-hair-spa-cream.png","/products/hair-care/professional-hair-spa-cream-2.png","/products/hair-care/professional-hair-spa-cream-3.png","Photograph","OK"
"Professional Shampoo","SGT-HC-001","Hair Care","/products/hair-care/professional-shampoo.png","/products/hair-care/professional-shampoo-2.png","/products/hair-care/professional-shampoo-3.png","Photograph","OK"
"Developer Cream","SGT-HT-003","Hair Color & Treatment","/products/hair-color-treatment/developer-cream.svg","/products/hair-color-treatment/developer-cream-2.svg","/products/hair-color-treatment/developer-cream-3.svg","Illustration","OK"
"Hair Bleach Powder","SGT-HT-002","Hair Color & Treatment","/products/hair-color-treatment/hair-bleach-powder.svg","/products/hair-color-treatment/hair-bleach-powder-2.svg","/products/hair-color-treatment/hair-bleach-powder-3.svg","Illustration","OK"
"Hair Botox Treatment","SGT-HT-007","Hair Color & Treatment","/products/hair-color-treatment/hair-botox-treatment.svg","/products/hair-color-treatment/hair-botox-treatment-2.svg","/products/hair-color-treatment/hair-botox-treatment-3.svg","Illustration","OK"
"Hair Color Remover","SGT-HT-004","Hair Color & Treatment","/products/hair-color-treatment/hair-color-remover.svg","/products/hair-color-treatment/hair-color-remover-2.svg","/products/hair-color-treatment/hair-color-remover-3.svg","Illustration","OK"
"Hair Perm Lotion & Neutralizer","SGT-HT-008","Hair Color & Treatment","/products/hair-color-treatment/hair-perm-lotion-neutralizer.svg","/products/hair-color-treatment/hair-perm-lotion-neutralizer-2.svg","/products/hair-color-treatment/hair-perm-lotion-neutralizer-3.svg","Illustration","OK"
"Hair Smoothening Cream","SGT-HT-006","Hair Color & Treatment","/products/hair-color-treatment/hair-smoothening-cream.svg","/products/hair-color-treatment/hair-smoothening-cream-2.svg","/products/hair-color-treatment/hair-smoothening-cream-3.svg","Illustration","OK"
"Keratin Treatment","SGT-HT-005","Hair Color & Treatment","/products/hair-color-treatment/keratin-treatment.svg","/products/hair-color-treatment/keratin-treatment-2.svg","/products/hair-color-treatment/keratin-treatment-3.svg","Illustration","OK"
